Results Group Name,Plate Id,Method,Colony Class,Counted Colonies,Counted Volume,Concentration,Comments,Timestamp,Operator,Dilution Factor,Inoculated Volume,Inoculation mode,Excluded Area,Device SN,UTC Created Time,Count From Automatic Process,"Input Values: (Tr. to Back, Plate Diam, min Diam)"
CIDA_Growth_Curves,B3_6_0_S12-0116_3_BHI_-1_24_1,TEMPLATE_Sharp,Class 1,238,0.02036,116895.875,<<Interactive changes have been made.>><<Calibration is needed.>>,9/29/21 17:12,Administrator,10,0.05,E Mode 50ul,0,10007000/0064,9/29/21 21:12,235,25 ;85.0 ;0.3
CIDA_Growth_Curves,B3_6_0_S12-0116_3_BHIrif_-1_24_1,TEMPLATE_Sharp,Class 1,3,0.050000001,600,<<Interactive changes have been made.>><<Calibration is needed.>>,9/29/21 17:12,Administrator,10,0.05,E Mode 50ul,0,10007000/0064,9/29/21 21:12,10,25 ;85.0 ;0.3
CIDA_Growth_Curves,B3_6_0_S12-0116_3_BHIrif_-1_24_2,TEMPLATE_Sharp,Class 1,3,0.050000001,600,<<Interactive changes have been made.>><<Calibration is needed.>>,9/29/21 17:13,Administrator,10,0.05,E Mode 50ul,0,10007000/0064,9/29/21 21:13,7,25 ;85.0 ;0.3
CIDA_Growth_Curves,B3_6_0_S12-0132_3_BHIrif_-1_24_1,TEMPLATE_Sharp,Class 1,12,0.050000001,2640,<<Interactive changes have been made.>><<Calibration is needed.>>,9/29/21 17:13,Administrator,11,0.05,E Mode 50ul,0,10007000/0064,9/29/21 21:13,21,25 ;85.0 ;0.3
CIDA_Growth_Curves,B3_6_0_S12-0132_3_BHIrif_-1_24_2,TEMPLATE_Sharp,Class 1,12,0.050000001,2640,<<Interactive changes have been made.>><<Calibration is needed.>>,9/29/21 17:14,Administrator,11,0.05,E Mode 50ul,0,10007000/0064,9/29/21 21:14,19,25 ;85.0 ;0.3
CIDA_Growth_Curves,B3_6_0_S12-0132_3_BHI_-1_24_1,TEMPLATE_Sharp,Class 1,198,0.02036,106974.4609,<<Interactive changes have been made.>><<Calibration is needed.>>,9/29/21 17:14,Administrator,11,0.05,E Mode 50ul,0,10007000/0064,9/29/21 21:14,200,25 ;85.0 ;0.3
CIDA_Growth_Curves,B3_6_0_S12-0141_3_BHI_-1_24_1,TEMPLATE_Sharp,Class 1,181,0.02036,106679.7656,<<Interactive changes have been made.>><<Calibration is needed.>>,9/29/21 17:15,Administrator,12,0.05,E Mode 50ul,0,10007000/0064,9/29/21 21:15,195,25 ;85.0 ;0.3
CIDA_Growth_Curves,B3_6_0_S12-0141_3_BHIrif_-1_24_1,TEMPLATE_Sharp,Class 1,8,0.050000001,1920,<<Interactive changes have been made.>><<Calibration is needed.>>,9/29/21 17:16,Administrator,12,0.05,E Mode 50ul,0,10007000/0064,9/29/21 21:16,18,25 ;85.0 ;0.3
CIDA_Growth_Curves,B3_6_0_S12-0141_3_BHIrif_-1_24_2,TEMPLATE_Sharp,Class 1,4,0.050000001,960,<<Interactive changes have been made.>><<Calibration is needed.>>,9/29/21 17:16,Administrator,12,0.05,E Mode 50ul,0,10007000/0064,9/29/21 21:16,12,25 ;85.0 ;0.3
CIDA_Growth_Curves,B3_6_0_Control_3_BHIrif_-1_24_1,TEMPLATE_Sharp,Class 1,0,0.050000001,0,<<Interactive changes have been made.>><<Calibration is needed.>>,9/29/21 17:17,Administrator,12,0.05,E Mode 50ul,0,10007000/0064,9/29/21 21:17,6,25 ;85.0 ;0.3
